nome;uf;valor
Magda Mofatto;GO;2444502.56
Glaustin da Fokus;GO;2048561.8
Fernando Monteiro;PE;1702241.28
Giacobo;PR;1293442.39
Silas Câmara;AM;1068365.3
Luciano Vieira;RJ;1066584.93
Olival Marques;PA;1005495.42
Gustinho Ribeiro;SE;897682.55
Fábio Macedo;MA;806994.21
Max Lemos;RJ;806622.57
Bebeto;RJ;786543.64
Delegado Éder Mauro;PA;750183.8
Pedro Paulo;RJ;705730.17
Eunício Oliveira;CE;694014.45
Altineu Côrtes;RJ;649882.42
Gabriel Mota;RR;616666.67
Professor Alcides;GO;609233.29
Vicentinho Júnior;TO;584271.86
Pedro Lupion;PR;568157.28
Julio Lopes;RJ;545966.86
Gilberto Nascimento;SP;507351.18
Damião Feliciano;PB;507211.52
Renilce Nicodemos;PA;443875.95
Cleber Verde;MA;442110.34
Mauricio Neves;SP;417950.87
Mário Heringer;MG;405291.18
Alberto Mourão;SP;398724.96
Junior Lourenço;MA;374794.85
Benes Leocádio;RN;347645.7
Prof. Reginaldo Veras;DF;343851.42
Kiko Celeguim;SP;337747.59
Capitão Alden;BA;330959.69
Jorge Goetten;SC;326560.44
Antônia Lúcia;AC;324460.54
Lucas Ramos;PE;322844.82
Euclydes Pettersen;MG;318359.04
Dani Cunha;RJ;315913.6
Detinha;MA;315482.35
Antonio Andrade;TO;313077.37
Mario Frias;SP;309977.79
Amanda Gentil;MA;289049.69
Bacelar;BA;281447.05
Hercílio Coelho Diniz;MG;280956.24
Átila Lins;AM;275694.27
Júlio Cesar;PI;274155.92
Franciane Bayer;RS;268671.64999999997
Gleisi Hoffmann;PR;264390.26
Júnior Mano;CE;262466.68
Duda Ramos;RR;258202.74
Marcos Tavares;RJ;252426.83
Misael Varella;MG;250871.03
Da Vitoria;ES;248863.83
Leur Lomanto Júnior;BA;247060.7
Eriberto Medeiros;PE;246429.14
Julio Arcoverde;PI;245277.16
Aécio Neves;MG;244553.38
Leonardo Monteiro;MG;244479.58
Soraya Santos;RJ;243875.23
Jefferson Campos;SP;242782.53
Benedita da Silva;RJ;241842.78
Carlos Henrique Gaguim;TO;241083.46
Rafael Prudente;DF;237255.47
Delegado Matheus Laiola;PR;235180.6
