id,nome,periodos,total_mandatos
235620,Ilacir Bicalho,2023-2027,1
235088,Ribeiro Neto,2023-2027,1
234840,Cristiano Furlan,2023-2027,1
234788,Heloísa Helena,2023-2027,1
234673,Vanderlan Alves,2023-2027,1
234406,Elmano Férrer,2023-2027,1
234388,Fabiano Cazeca,2023-2027,1
234310,Ricardo Galvão,2023-2027,1
234253,Lucas Abrahao,2023-2027,1
233598,Samuel Santos,2023-2027,1
233594,Rafael Fera o Fiscal do Povo,2023-2027,1
233592,Paulo Lemos,2023-2027,1
233218,Nelinho Freitas,2023-2027,1
231911,Lenir de Assis,2023-2027,1
230957,João Cury,2023-2027,1
230768,Zé Adriano,2023-2027,1
230767,Rodrigo da Zaeli,2023-2027,1
230765,Enfermeira Rejane,2023-2027,1
230764,Ivan Junior,2023-2027,1
230762,Pastor Claudio Mariano,2023-2027,1
230177,Tadeu Oliveira,2023-2027,1
230088,Dra. Mayra Pinheiro,2023-2027,1
229939,Newton Bonin,2023-2027,1
229585,Elisangela Araujo,2023-2027,1
229432,Luiz Fernando Vampiro,2023-2027,1
229333,Gláucia Santiago,2023-2027,1
229259,Pedro Tourinho,2023-2027,1
229225,Missionária Michele Collins,2023-2027,1
229112,Pedro Jr,2023-2027,1
229106,Carla Ayres,2023-2027,1
229082,Lucyana Genésio,2023-2027,1
229069,Capitão Samuel,2023-2027,1
228941,Daniel José,2023-2027,1
228837,Juliana Kolankiewicz,2023-2027,1
228797,Júlio Oliveira,2023-2027,1
228616,Dr. Remy Soares,2023-2027,1
228272,Délio Pinheiro,2023-2027,1
228042,Naumi Amorim,2023-2027,1
227991,Dr Flávio,2023-2027,1
227800,Duarte Gonçalves Jr,2023-2027,1
227660,Nitinho,2023-2027,1
227433,Douglas Viegas,2023-2027,1
227401,Dr Fabio Rueda,2023-2027,1
227370,Felipe Saliba,2023-2027,1
227324,Henrique Júnior,2023-2027,1
227323,Luciano Galego,2023-2027,1
227310,Silvio Antonio,2023-2027,1
227275,Mariana Carvalho,2023-2027,1
226837,Saulo Pedroso,2023-2027,1
226708,Dr. Allan Garcês,2023-2027,1
226553,Eliane Braz,2023-2027,1
226410,Márcio Correa,2023-2027,1
226179,Gisela Simona,2023-2027,1
226075,Priscila Costa,2023-2027,1
225730,Enfermeira Ana Paula,2023-2027,1
225727,Flavinha,2023-2027,1
225386,Renan Ferreirinha,2023-2027,1
224333,Welter,2023-2027,1
224117,Gabriel Mota,2023-2027,1
223398,Ulisses Guimarães,2023-2027,1
223128,Rodrigo Estacho,2023-2027,1
222565,Soldado Noelio,2023-2027,1
222429,Luis Carlos Gomes,2023-2027,1
222142,Coronel Telhada,2023-2027,1
221378,Reginete Bispo,2023-2027,1
221339,Dr. Benjamim,2023-2027,1
221338,Professora Luciene Cavalcante,2023-2027,1
221329,Ricardo Abrão,2023-2027,1
221328,Adilson Barroso,2023-2027,1
221148,Alfredinho,"2019-2023, 2023-2027",2
220715,Amom Mandel,2023-2027,1
220714,Adail Filho,2023-2027,1
220713,Saullo Vianna,2023-2027,1
220712,Fausto Santos Jr.,2023-2027,1
220708,Gabriel Nunes,2023-2027,1
220707,Amanda Gentil,2023-2027,1
220706,Padovani,2023-2027,1
220705,Deltan Dallagnol,2023-2027,1
220704,Carol Dartora,2023-2027,1
220703,Neto Carletto,2023-2027,1
220702,Geraldo Mendes,2023-2027,1
220701,Delegado Matheus Laiola,2023-2027,1
220700,Florentino Neto,2023-2027,1
220699,Castro Neto,2023-2027,1
220698,Beto Preto,2023-2027,1
220697,Jadyel Alencar,2023-2027,1
220696,Ivoneide Caetano,2023-2027,1
220695,Rogéria Santos,2023-2027,1
220694,Ricardo Maia,2023-2027,1
220693,Roberta Roma,2023-2027,1
220692,Dal Barreto,2023-2027,1
220691,Diego Coronel,2023-2027,1
220690,Capitão Alden,2023-2027,1
220689,Detinha,2023-2027,1
220688,Dr. Francisco,2023-2027,1
220687,Márcio Honaiser,2023-2027,1
220686,Duarte Jr.,2023-2027,1
220685,Paulo Litro,2023-2027,1
220684,Tião Medeiros,2023-2027,1
220683,Beto Richa,2023-2027,1
220682,Tadeu Veneri,2023-2027,1
220681,Fábio Macedo,2023-2027,1
220677,Keniston Braga,2023-2027,1
220676,Andreia Siqueira,2023-2027,1
220675,Antônio Doido,2023-2027,1
220674,Dra. Alessandra Haber,2023-2027,1
220673,Delegado Caveira,2023-2027,1
220672,Henderson Pinto,2023-2027,1
220671,Dilvanda Faro,2023-2027,1
220670,Iza Arruda,2023-2027,1
220669,Lula da Fonte,2023-2027,1
220668,Maria Arraes,2023-2027,1
220667,Pedro Campos,2023-2027,1
220666,Coronel Meira,2023-2027,1
220665,Clarissa Tércio,2023-2027,1
220664,Guilherme Uchoa,2023-2027,1
220663,Eriberto Medeiros,2023-2027,1
220662,Lucas Ramos,2023-2027,1
220661,Matheus Noronha,2023-2027,1
220660,Yury do Paredão,2023-2027,1
220659,Dayany do Capitão,2023-2027,1
220658,Luiz Gastão,2023-2027,1
220657,André Fernandes,2023-2027,1
220656,Fernanda Pessoa,2023-2027,1
220655,Mario Frias,2023-2027,1
220654,Delegado Paulo Bilynskyj,2023-2027,1
220653,Fábio Teruel,2023-2027,1
220652,Delegado Palumbo,2023-2027,1
220651,Simone Marquetto,2023-2027,1
220650,Paulo Alexandre Barbosa,2023-2027,1
220649,Delegado da Cunha,2023-2027,1
220648,Marangoni,2023-2027,1
220647,Mauricio Neves,2023-2027,1
220646,Felipe Becari,2023-2027,1
220645,Erika Hilton,2023-2027,1
220644,Rosangela Moro,2023-2027,1
220643,Sônia Guajajara,2023-2027,1
220642,Delegado Bruno Lima,2023-2027,1
220641,Rodrigo Gambale,2023-2027,1
220640,Juliana Cardoso,2023-2027,1
220639,Guilherme Boulos,2023-2027,1
220638,Antonio Carlos Rodrigues,2023-2027,1
220637,Marina Silva,2023-2027,1
220636,Luiz Marinho,2023-2027,1
220635,Bruno Ganem,2023-2027,1
220634,Marcelo Lima,2023-2027,1
220633,Ricardo Salles,2023-2027,1
220632,Ana Pimentel,2023-2027,1
220631,Samuel Viana,2023-2027,1
220630,Pedro Aihara,2023-2027,1
220629,Dandara,2023-2027,1
220628,Mauricio do Vôlei,2023-2027,1
220627,Paulinho Freire,2023-2027,1
220626,Rafael Simoes,2023-2027,1
220625,Delegada Ione,2023-2027,1
220624,Robinson Faria,2023-2027,1
220623,Duda Salabert,2023-2027,1
220622,Nely Aquino,2023-2027,1
220621,Sargento Gonçalves,2023-2027,1
220620,Rosângela Reis,2023-2027,1
220619,Delegado Ramagem,2023-2027,1
220618,Sargento Portugal,2023-2027,1
220617,Murillo Gouvea,2023-2027,1
220616,Luciano Vieira,2023-2027,1
220615,Pastor Henrique Vieira,2023-2027,1
