deputado_id,pontuacao_total_impacto,media_peso_projetos
3151.0,21,3.0
4927.0,2,2.0
4930.0,36,3.0
4931.0,142,3.55
62881.0,251,3.69
64960.0,25,3.12
66179.0,403,3.99
66385.0,82,3.73
66828.0,493,3.57
67138.0,227,3.55
67312.0,30,3.33
68720.0,183,3.81
68731.0,33,2.75
69871.0,446,3.84
72442.0,839,3.53
72912.0,56,3.5
73416.0,110,3.33
73424.0,104,3.35
73428.0,5,5.0
73433.0,261,3.53
73434.0,277,2.74
73437.0,11,2.75
73441.0,329,3.46
73447.0,25,2.08
73454.0,5,5.0
73456.0,5,5.0
73458.0,52,3.71
73459.0,43,3.07
73460.0,147,3.34
73461.0,4,2.0
73463.0,77,3.35
73466.0,663,3.2
73471.0,5,5.0
73472.0,2,2.0
73474.0,33,2.75
73478.0,76,2.81
73481.0,12,2.0
73482.0,336,3.36
73483.0,76,2.92
73486.0,1428,3.26
73492.0,6,3.0
73507.0,39,3.25
73531.0,660,3.77
73534.0,18,2.0
73535.0,119,2.98
73540.0,5,5.0
73545.0,5,5.0
73553.0,74,2.55
73556.0,34,3.09
73558.0,19,3.8
73559.0,26,3.25
73560.0,10,5.0
73565.0,14,3.5
73568.0,122,3.05
73569.0,2,2.0
73579.0,1098,3.27
73584.0,326,2.99
73586.0,288,3.51
73588.0,41,3.15
73594.0,2,2.0
73604.0,323,3.63
73653.0,185,2.76
73655.0,415,2.99
73658.0,17,4.25
73666.0,112,3.2
73673.0,5,5.0
73674.0,16,2.67
73676.0,78,2.89
73682.0,116,3.87
73692.0,211,3.98
73696.0,158,3.85
73701.0,859,3.62
73714.0,6,2.0
73716.0,5,5.0
73720.0,50,2.94
73761.0,2,2.0
73764.0,2,2.0
73768.0,139,4.48
73772.0,29,4.14
73778.0,319,3.29
73786.0,6,2.0
73788.0,120,3.53
73793.0,112,2.67
73801.0,215,3.77
73805.0,43,2.87
73806.0,54,4.5
73808.0,83,3.61
73809.0,2,2.0
73831.0,19,3.17
73873.0,2,2.0
73874.0,19,3.8
73875.0,12,4.0
73883.0,34,3.09
73891.0,72,4.0
73892.0,81,3.38
73893.0,105,3.62
73904.0,20,2.5
73907.0,6,2.0
73924.0,31,3.88
73926.0,65,2.95
73930.0,67,3.35
73931.0,49,2.88
73933.0,53,2.79
73934.0,115,2.67
73936.0,11,2.75
73937.0,16,3.2
73938.0,10,3.33
73940.0,38,3.8
73943.0,436,3.69
73945.0,18,3.0
73981.0,2,2.0
73982.0,63,2.86
73992.0,12,4.0
73993.0,2,2.0
73998.0,7,3.5
74000.0,5,5.0
74005.0,2,2.0
74010.0,190,2.88
74016.0,35,3.18
74017.0,22,2.44
74026.0,6,2.0
74027.0,41,2.93
74031.0,5,5.0
74032.0,2,2.0
74037.0,46,3.29
74039.0,276,3.07
74040.0,66,3.47
74041.0,327,3.48
74043.0,186,3.96
74044.0,297,3.62
74045.0,25,2.27
74047.0,53,3.12
74048.0,38,3.8
74049.0,2,2.0
74050.0,22,2.44
74052.0,221,3.68
74053.0,2,2.0
74056.0,88,3.14
74057.0,628,3.76
74058.0,2,2.0
74059.0,15,5.0
74060.0,343,3.73
74061.0,5,5.0
74062.0,19,3.17
74065.0,58,3.62
74075.0,243,4.12
74076.0,5,5.0
74077.0,22,2.75
74079.0,106,3.53
74082.0,4,2.0
74084.0,375,3.57
74090.0,162,4.5
74095.0,136,3.68
74103.0,43,3.31
74106.0,35,2.69
74119.0,12,4.0
74120.0,7,3.5
74124.0,167,3.15
74133.0,22,2.75
74137.0,5,5.0
74140.0,27,3.38
74141.0,30,3.33
74145.0,12,4.0
74151.0,31,2.82
74152.0,7,3.5
74153.0,5,5.0
74156.0,622,3.51
74158.0,635,3.85
74159.0,290,3.54
74160.0,832,3.56
74161.0,743,3.26
74162.0,48,4.0
74163.0,287,2.81
74165.0,101,3.61
74169.0,5,5.0
74171.0,364,3.19
74172.0,94,3.48
74173.0,117,3.0
74177.0,38,3.17
74191.0,12,2.0
74197.0,78,3.0
74200.0,85,3.7
74207.0,8,2.0
74209.0,5,5.0
74210.0,98,3.63
74212.0,27,4.5
74213.0,13,2.6
74216.0,117,3.77
74218.0,5,5.0
74222.0,4,2.0
74230.0,31,2.58
74235.0,25,2.08
74253.0,410,3.2
74254.0,72,3.27
74262.0,507,3.62
74264.0,7,3.5
74265.0,20,2.5
74270.0,221,3.88
74273.0,307,3.61
74274.0,5,5.0
74275.0,30,3.33
74277.0,77,3.67
74278.0,18,3.0
74283.0,790,3.46
74284.0,87,2.81
74286.0,12,4.0
74290.0,17,2.43
74291.0,3,3.0
74297.0,29,2.9
74299.0,128,4.41
74300.0,11,2.75
74305.0,137,3.42
74308.0,2,2.0
74317.0,171,3.8
74319.0,39,3.0
74321.0,14,2.8
74324.0,20,2.86
74345.0,19,3.8
74351.0,15,2.5
74352.0,14,3.5
74354.0,3,3.0
74356.0,263,3.42
74357.0,15,5.0
74359.0,18,3.0
74363.0,48,2.82
74365.0,2,2.0
74366.0,274,3.47
74368.0,4,2.0
74370.0,2,2.0
74371.0,952,3.63
74372.0,257,2.99
74373.0,13,2.6
74374.0,264,3.43
74376.0,597,3.6
74377.0,7,3.5
74378.0,35,2.92
74379.0,3,3.0
74382.0,37,2.85
74383.0,121,3.78
74385.0,98,2.72
74388.0,36,3.0
74389.0,5,5.0
74391.0,20,5.0
74392.0,17,3.4
74395.0,31,2.38
74397.0,25,3.12
74398.0,964,3.64
74399.0,267,3.3
74400.0,640,3.5
74405.0,5,5.0
74417.0,16,2.67
74419.0,332,3.22
74421.0,97,3.03
74423.0,36,2.57
74428.0,350,3.5
74433.0,2,2.0
74435.0,5,5.0
74439.0,214,3.82
74445.0,7,2.33
74449.0,37,2.64
74454.0,46,4.18
74455.0,12,4.0
74456.0,2,2.0
74457.0,9,3.0
74459.0,87,4.14
74460.0,17,2.43
74467.0,300,3.75
74470.0,12,4.0
74471.0,188,3.3
74474.0,58,3.22
74478.0,69,3.29
74490.0,19,3.8
74491.0,26,2.6
74496.0,2,2.0
74528.0,2,2.0
74533.0,15,2.5
74535.0,5,5.0
74537.0,104,3.47
74542.0,7,3.5
74550.0,44,4.0
74553.0,12,4.0
74554.0,149,4.14
