deputado_id,deputado_nome,presencas_nominais,total_nominais_ano,total_geral_reunioes_ano,taxa_assiduidade_%
3151,Jairo Ataide,299,616,33327,48.54
3155,Bispo Gê Tenuta,13,83,5422,15.66
4927,Jorginho Maluly,44,83,5422,53.01
4928,Eduardo Lopes,27,83,5422,32.53
4929,Joseph Bandeira,85,293,17124,29.01
4930,Silvio Costa,887,1432,54800,61.94
4931,Izalci,1002,1713,66427,58.49
62881,Danilo Forte,2562,4796,103535,53.42
64960,Maria Helena,645,982,32317,65.68
66179,Norma Ayub,2014,2647,37173,76.09
66385,Julio Arcoverde,739,1510,37087,48.94
66828,Fausto Pinato,2981,4679,89772,63.71
67138,Iracema Portella,1507,3619,75168,41.64
67312,Júlia Marinho,688,899,26895,76.53
68720,Fábio Henrique,1937,2718,36161,71.27
68731,Henrique Oliveira,242,450,22483,53.78
69871,Bacelar,3516,4679,89772,75.14
72442,Felipe Carreras,2516,4470,84247,56.29
72912,Celso Pansera,545,899,26895,60.62
73416,Nelson Bornier,128,293,17124,43.69
73424,Simão Sessim,876,1432,54800,61.17
73428,Aldo Rebelo,71,207,11690,34.3
73431,Antonio Carlos Pannunzio,48,83,5422,57.83
73433,Arlindo Chinaglia,3424,5212,117677,65.69
73434,Arnaldo Faria de Sá,1059,1432,54800,73.95
73437,Beto Mansur,695,1432,54800,48.53
73441,Celso Russomanno,2858,4762,95194,60.02
73447,Edinho Araújo,563,972,37995,57.92
73456,Waldemir Moka,51,83,5422,61.45
73458,Alex Canziani,643,1432,54800,44.9
73459,Dr. Rosinha,246,533,27905,46.15
73460,Gustavo Fruet,1569,2353,31212,66.68
73461,Iris Simões,22,83,5422,26.51
73463,Osmar Serraglio,1607,2976,70377,54.0
73464,Oliveira Filho,48,154,7256,31.17
73466,Rubens Bueno,3032,3619,75168,83.78
73471,Fernando Coruja,51,83,5422,61.45
73472,Gervásio Silva,36,83,5422,43.37
73474,Luci Choinacki,234,450,22483,52.0
73478,Beto Albuquerque,192,409,21637,46.94
73481,Fernando Marroni,469,846,37892,55.44
73482,Henrique Fontana,2710,3702,80590,73.2
73483,Luis Carlos Heinze,1022,1432,54800,71.37
73486,Pompeo de Mattos,3285,4762,95194,68.98
73490,Ricarte de Freitas,4,83,5422,4.82
73492,Antonio Carlos Biscaia,30,83,5422,36.14
73507,Rose de Freitas,250,533,27905,46.9
73531,Ivan Valente,3901,5212,117677,74.85
73534,João Paulo Cunha,199,447,24380,44.52
73535,Jorge Tadeu Mudalen,873,1432,54800,60.96
73536,José Aníbal,45,169,8947,26.63
73540,José Genoíno,141,237,12678,59.49
73552,Michel Temer,45,83,5422,54.22
73553,Nelson Marquezelli,940,1432,54800,65.64
73556,Regis de Oliveira,59,83,5422,71.08
73559,Salvador Zimbaldi,249,450,22483,55.33
73560,Silvio Torres,704,1068,35842,65.92
73564,Vadão Gomes,15,83,5422,18.07
73565,Valdemar Costa Neto,62,447,24380,13.87
73568,Celso Jacob,710,1139,37676,62.34
73569,Jorge Pinheiro,36,124,6268,29.03
73579,Alberto Fraga,1821,2492,69404,73.07
73584,Antonio Carlos Mendes Thame,685,1432,54800,47.84
73586,Júlio Delgado,2671,3702,80590,72.15
73588,Mauro Benevides,340,742,33430,45.82
73594,NIlmar Ruiz,143,323,16203,44.27
73604,Rui Falcão,2717,3780,62877,71.88
73612,Paulo Rattes,11,83,5422,13.25
73653,Wellington Fagundes,217,533,27905,40.71
73655,Augusto Carvalho,1033,1432,54800,72.14
73658,Jofran Frejat,64,83,5422,77.11
73660,Osório Adriano,7,83,5422,8.43
73666,Jovair Arantes,598,1432,54800,41.76
73673,Pedro Wilson,61,83,5422,73.49
73674,Roberto Balestra,848,1432,54800,59.22
73676,Sandro Mabel,177,533,27905,33.21
73677,Vilmar Rocha,50,296,15227,16.89
73682,João Dado,338,533,27905,63.41
73692,Osmar  Terra,2691,4879,108957,55.15
73696,Angela Amin,1936,2353,31212,82.28
73701,Benedita da Silva,3127,5129,112255,60.97
73714,José Reinaldo,671,899,26895,74.64
73716,Leomar Quintanilha,41,154,7256,26.62
73720,Cesar Souza,407,899,26895,45.27
73761,Nelson Trad,59,83,5422,71.08
73764,Abelardo Lupion,262,533,27905,49.16
73765,Affonso Camargo,3,83,5422,3.61
73768,Dilceu Sperafico,2003,2942,91887,68.08
73772,Hermes Parcianello,1901,3702,80590,51.35
73777,Luciano Pizzatto,2,154,7256,1.3
73778,Luiz Carlos Hauly,1557,2732,80185,56.99
73781,Nelson Meurer,1099,1432,54800,76.75
73782,Odílio Balbinotti,268,409,21637,65.53
73786,Reinhold Stephanes,440,965,37557,45.6
73788,Ricardo Barros,2059,4079,77431,50.48
73793,Edinho Bez,677,1290,50809,52.48
73801,Renildo Calheiros,2630,3780,62877,69.58
73805,Roberto Freire,613,1349,49378,45.44
73806,Roseana Sarney,270,895,21202,30.17
73808,Sérgio Brito,1941,5212,117677,37.24
73809,Uldurico Pinto,48,83,5422,57.83
73817,Antonio Cruz,53,83,5422,63.86
73831,Tampinha,124,209,5525,59.33
73873,João Matos,41,83,5422,49.4
73874,João Pizzolatti,154,533,27905,28.89
73875,José Carlos Vieira,39,169,8947,23.08
73882,Paulo Bauer,35,83,5422,42.17
73883,Paulo Bornhausen,62,447,22471,13.87
73891,Darcísio Perondi,1246,2158,65013,57.74
73892,Eliseu Padilha,190,533,27905,35.65
73893,Enio Bacci,174,533,27905,32.65
73904,Mendes Ribeiro Filho,86,361,18946,23.82
73907,Nelson Proença,12,83,5422,14.46
73909,Osvaldo Biolchi,2,83,5422,2.41
73924,Davi Alcolumbre,237,533,27905,44.47
73926,Janete Capiberibe,687,1432,54800,47.97
73928,Ann Pontes,9,83,5422,10.84
73929,Jader Barbalho,5,83,5422,6.02
73930,Wladimir Costa,404,1432,54800,28.21
73931,Zé Geraldo,862,1432,54800,60.2
73933,Zequinha Marinho,254,533,27905,47.65
73934,Carlos Souza,333,827,33866,40.27
73936,Lupércio Ramos,54,83,5422,65.06
73937,Anselmo de Jesus,221,323,16203,68.42
73938,Eduardo Valverde,40,83,5422,48.19
73940,Henrique Afonso,328,533,27905,61.54
73943,Perpétua Almeida,2011,2803,53695,71.74
73945,Eduardo Gomes,81,533,27905,15.2
73981,Francisco Rodrigues,37,83,5422,44.58
73982,Luciano Castro,245,533,27905,45.97
73987,Antonio Feijão,13,83,5422,15.66
73992,Yeda Crusius,210,377,11383,55.7
73993,Arnaldo Madeira,54,83,5422,65.06
73998,Silvio Lopes,55,83,5422,66.27
74000,Chico da Princesa,43,83,5422,51.81
74005,Olavo Calheiros,15,83,5422,18.07
74010,Valdir Colatto,991,1432,54800,69.2
74016,Costa Ferreira,232,450,22483,51.56
74017,Paulo Feijó,941,1349,49378,69.76
74026,Clóvis Fecury,18,83,5422,21.69
