deputado_id,total_proposicoes,deputado_nome,proposicoes_aprovadas,taxa_aprovacao_%
3151.0,7,Jairo Ataide,0.0,0.0
4927.0,1,Jorginho Maluly,0.0,0.0
4930.0,12,Silvio Costa,0.0,0.0
4931.0,40,Izalci,3.0,7.5
62881.0,68,Danilo Forte,6.0,8.82
64960.0,8,Maria Helena,3.0,37.5
66179.0,101,Norma Ayub,6.0,5.94
66385.0,22,Julio Arcoverde,1.0,4.55
66828.0,138,Fausto Pinato,4.0,2.9
67138.0,64,Iracema Portella,5.0,7.81
67312.0,9,Júlia Marinho,1.0,11.11
68720.0,48,Fábio Henrique,2.0,4.17
68731.0,12,Henrique Oliveira,0.0,0.0
69871.0,116,Bacelar,5.0,4.31
72442.0,238,Felipe Carreras,9.0,3.78
72912.0,16,Celso Pansera,0.0,0.0
73416.0,33,Nelson Bornier,2.0,6.06
73424.0,31,Simão Sessim,4.0,12.9
73428.0,1,Aldo Rebelo,1.0,100.0
73433.0,74,Arlindo Chinaglia,7.0,9.46
73434.0,101,Arnaldo Faria de Sá,5.0,4.95
73437.0,4,Beto Mansur,0.0,0.0
73441.0,95,Celso Russomanno,5.0,5.26
73447.0,12,Edinho Araújo,1.0,8.33
73454.0,1,João Grandão,1.0,100.0
73456.0,1,Waldemir Moka,1.0,100.0
73458.0,14,Alex Canziani,3.0,21.43
73459.0,14,Dr. Rosinha,0.0,0.0
73460.0,44,Gustavo Fruet,3.0,6.82
73461.0,2,Íris Simões,0.0,0.0
73463.0,23,Osmar Serraglio,5.0,21.74
73466.0,207,Rubens Bueno,17.0,8.21
73471.0,1,Fernando Coruja,0.0,0.0
73472.0,1,Gervásio Silva,0.0,0.0
73474.0,12,Luci Choinacki,2.0,16.67
73478.0,27,Beto Albuquerque,4.0,14.81
73481.0,6,Fernando Marroni,1.0,16.67
73482.0,100,Henrique Fontana,6.0,6.0
73483.0,26,Luis Carlos Heinze,1.0,3.85
73486.0,438,Pompeo de Mattos,7.0,1.6
73492.0,2,Antonio Carlos Biscaia,0.0,0.0
73507.0,12,Rose de Freitas,0.0,0.0
73531.0,175,Ivan Valente,6.0,3.43
73534.0,9,João Paulo Cunha,0.0,0.0
73535.0,40,Jorge Tadeu Mudalen,0.0,0.0
73540.0,1,José Genoíno,0.0,0.0
73545.0,1,Luciano Zica,1.0,100.0
73553.0,29,Nelson Marquezelli,1.0,3.45
73556.0,11,Regis de Oliveira,0.0,0.0
73558.0,52,Robson Tuma,0.0,0.0
73559.0,8,Salvador Zimbaldi,0.0,0.0
73560.0,2,Silvio Torres,0.0,0.0
73565.0,4,Valdemar Costa Neto,0.0,0.0
73568.0,40,Celso Jacob,0.0,0.0
73569.0,1,Jorge Pinheiro,0.0,0.0
73579.0,337,Alberto Fraga,0.0,0.0
73584.0,109,Antonio Carlos Mendes Thame,3.0,2.75
73586.0,82,Júlio Delgado,5.0,6.1
73588.0,13,Mauro Benevides,1.0,7.69
73594.0,1,Nilmar Ruiz,0.0,0.0
73604.0,89,Rui Falcão,6.0,6.74
73653.0,67,Wellington Fagundes,0.0,0.0
73655.0,139,Augusto Carvalho,1.0,0.72
73658.0,4,Jofran Frejat,0.0,0.0
73666.0,35,Jovair Arantes,0.0,0.0
73673.0,1,Pedro Wilson,1.0,100.0
73674.0,6,Roberto Balestra,0.0,0.0
73676.0,27,Sandro Mabel,2.0,7.41
73682.0,30,João Dado,0.0,0.0
73692.0,53,Osmar Terra,10.0,18.87
73696.0,41,Angela Amin,7.0,17.07
73701.0,237,Benedita da Silva,20.0,8.44
73714.0,3,José Reinaldo,1.0,33.33
73716.0,1,Leomar Quintanilha,0.0,0.0
73720.0,17,Cesar Souza,0.0,0.0
73761.0,1,Nelson Trad,0.0,0.0
73764.0,1,Abelardo Lupion,0.0,0.0
73768.0,31,Dilceu Sperafico,1.0,3.23
73772.0,7,Hermes Parcianello,2.0,28.57
73778.0,97,Luiz Carlos Hauly,0.0,0.0
73786.0,3,Reinhold Stephanes,1.0,33.33
73788.0,34,Ricardo Barros,2.0,5.88
73793.0,42,Edinho Bez,4.0,9.52
73801.0,57,Renildo Calheiros,5.0,8.77
73805.0,15,Roberto Freire,0.0,0.0
73806.0,12,Roseana Sarney,1.0,8.33
73808.0,23,Sérgio Brito,2.0,8.7
73809.0,1,Uldurico Pinto,0.0,0.0
73831.0,6,Tampinha,0.0,0.0
73873.0,1,João Matos,0.0,0.0
73874.0,5,João Pizzolatti,1.0,20.0
73875.0,3,José Carlos Vieira,0.0,0.0
