deputado_id,Total_Gasto_Historico,Categoria_Despesa_Historico
3151,1666542.71,"{'ASSINATURA DE PUBLICAÇÕES': 204.7, 'COMBUSTÍVEIS E LUBRIFICANTES.': 230138.89, 'CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.': 241700.0, 'DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.': 313194.0, 'FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR': 14179.57, 'HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.': 5769.39, 'LOCAÇÃO DE VEÍCULOS AUTOMOTORES OU FRETAMENTO DE EMBARCAÇÕES': 276970.39, 'LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES': 106000.0, 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR': 12007.85, 'PASSAGEM AÉREA - REEMBOLSO': 3489.8, 'PASSAGEM AÉREA - RPA': 311153.31, 'PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS': 201.9, 'SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.': 5669.0, 'SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO': 5857.4, 'SERVIÇOS POSTAIS': 29101.77, 'TELEFONIA': 110904.74}"
3155,371364.25,"{'COMBUSTÍVEIS E LUBRIFICANTES.': 32906.58, 'CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.': 14650.17, 'DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.': 19000.0, 'FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR': 12680.79, 'HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.': 13865.47, 'LOCAÇÃO DE VEÍCULOS AUTOMOTORES OU FRETAMENTO DE EMBARCAÇÕES': 8325.0, 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR': 34434.42, 'PASSAGEM AÉREA - REEMBOLSO': 1363.88, 'PASSAGEM AÉREA - RPA': 163978.88, 'SERVIÇOS POSTAIS': 11124.55, 'TELEFONIA': 59034.51}"
4927,345219.61,"{'COMBUSTÍVEIS E LUBRIFICANTES.': 26915.22, 'CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.': 23030.0, 'DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.': 40080.0, 'LOCAÇÃO DE VEÍCULOS AUTOMOTORES OU FRETAMENTO DE EMBARCAÇÕES': 42534.05, 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR': 2040.0, 'PASSAGEM AÉREA - RPA': 73508.26, 'SERVIÇOS POSTAIS': 5775.36, 'TELEFONIA': 131336.72}"
4928,169602.35,"{'ASSINATURA DE PUBLICAÇÕES': 60.0, 'COMBUSTÍVEIS E LUBRIFICANTES.': 21283.6, 'CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.': 25500.0, 'DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.': 53897.0, 'FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR': 6414.09, 'LOCAÇÃO DE VEÍCULOS AUTOMOTORES OU FRETAMENTO DE EMBARCAÇÕES': 20324.07, 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR': 16401.43, 'PASSAGEM AÉREA - REEMBOLSO': 5601.56, 'PASSAGEM AÉREA - RPA': 10163.86, 'SERVIÇOS POSTAIS': 1127.49, 'TELEFONIA': 8829.25}"
4929,429523.03,"{'COMBUSTÍVEIS E LUBRIFICANTES.': 56217.48, 'DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.': 12350.0, 'FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR': 40840.75, 'HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.': 2687.35, 'LOCAÇÃO DE VEÍCULOS AUTOMOTORES OU FRETAMENTO DE EMBARCAÇÕES': 113446.78, 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR': 115.2, 'PASSAGEM AÉREA - REEMBOLSO': 2587.23, 'PASSAGEM AÉREA - RPA': 144625.76, 'SERVIÇOS POSTAIS': 9349.62, 'TELEFONIA': 47302.86}"
4930,4254675.16,"{'COMBUSTÍVEIS E LUBRIFICANTES.': 476599.53, 'CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.': 737860.56, 'DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.': 165162.45, 'HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.': 2527.35, 'LOCAÇÃO DE VEÍCULOS AUTOMOTORES OU FRETAMENTO DE EMBARCAÇÕES': 575400.0, 'LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES': 585399.97, 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR': 481187.02, 'PASSAGEM AÉREA - REEMBOLSO': 2529.36, 'PASSAGEM AÉREA - RPA': 884585.76, 'SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.': 26400.0, 'SERVIÇOS POSTAIS': 24760.57, 'TELEFONIA': 292262.59}"
4931,2678322.76,"{'COMBUSTÍVEIS E LUBRIFICANTES.': 141310.33, 'CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.': 1315367.08, 'DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.': 495641.15, 'LOCAÇÃO DE VEÍCULOS AUTOMOTORES OU FRETAMENTO DE EMBARCAÇÕES': 127450.0, 'LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES': 162100.0, 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR': 326257.26, 'SERVIÇOS POSTAIS': 522.14, 'TELEFONIA': 109674.8}"
62881,6901540.37,"{'ASSINATURA DE PUBLICAÇÕES': 3326.74, 'COMBUSTÍVEIS E LUBRIFICANTES.': 334066.03, 'CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.': 481493.13, 'DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.': 2281946.55, 'FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR': 71836.29, 'HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.': 154310.61, 'LOCAÇÃO DE VEÍCULOS AUTOMOTORES OU FRETAMENTO DE EMBARCAÇÕES': 17800.0, 'LOCAÇÃO OU FRETAMENTO DE AERONAVES': 107660.0, 'LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES': 483454.9, 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR': 721249.79, 'PASSAGEM AÉREA - REEMBOLSO': 49083.84, 'PASSAGEM AÉREA - RPA': 1333894.03, 'PASSAGEM AÉREA - SIGEPA': 322130.83, 'PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS': 207.25, 'SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.': 26656.7, 'SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO': 1971.48, 'SERVIÇOS POSTAIS': 159160.63, 'TELEFONIA': 351291.57}"
64960,2566115.31,"{'ASSINATURA DE PUBLICAÇÕES': 54.0, 'COMBUSTÍVEIS E LUBRIFICANTES.': 288799.14, 'CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.': 61600.28, 'DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.': 801412.3, 'FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR': 19625.65, 'HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.': 27431.13, 'LOCAÇÃO DE VEÍCULOS AUTOMOTORES OU FRETAMENTO DE EMBARCAÇÕES': 3448.92, 'LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES': 237718.88, 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR': 130814.22, 'PASSAGEM AÉREA - REEMBOLSO': 30209.73, 'PASSAGEM AÉREA - RPA': 804653.6, 'SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO': 1612.7, 'SERVIÇOS POSTAIS': 20770.87, 'TELEFONIA': 137963.89}"
66179,1769423.49,"{'ASSINATURA DE PUBLICAÇÕES': 2046.48, 'COMBUSTÍVEIS E LUBRIFICANTES.': 132471.38, 'DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.': 135754.74, 'HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.': 5131.05, 'LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES': 472767.6, 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR': 545904.21, 'PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR': 26891.65, 'PASSAGEM AÉREA - REEMBOLSO': 16027.7, 'PASSAGEM AÉREA - RPA': 212271.67, 'PASSAGEM AÉREA - SIGEPA': 90683.29, 'SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO': 1551.0, 'SERVIÇOS POSTAIS': 47726.58, 'TELEFONIA': 80196.14}"
66385,1704632.67,"{'COMBUSTÍVEIS E LUBRIFICANTES.': 121199.43, 'DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.': 249955.9, 'LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES': 415713.0, 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR': 205156.73, 'PASSAGEM AÉREA - RPA': 3179.46, 'PASSAGEM AÉREA - SIGEPA': 414339.22, 'SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.': 294930.0, 'TELEFONIA': 158.93}"
66828,4718375.69,"{'COMBUSTÍVEIS E LUBRIFICANTES.': 727637.15, 'CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.': 8100.0, 'DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.': 846312.84, 'FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR': 7959.58, 'HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.': 59610.83, 'LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES': 1101142.33, 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR': 220742.97, 'PASSAGEM AÉREA - REEMBOLSO': 4909.32, 'PASSAGEM AÉREA - RPA': 757285.63, 'PASSAGEM AÉREA - SIGEPA': 628701.61, 'PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS': 1685.75, 'SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO': 116323.99, 'SERVIÇOS POSTAIS': 35314.44, 'TELEFONIA': 202649.25}"
67138,5081039.63,"{'ASSINATURA DE PUBLICAÇÕES': 183.48, 'COMBUSTÍVEIS E LUBRIFICANTES.': 191610.87, 'CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.': 1135647.79, 'DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.': 926095.54, 'FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR': 3960.39, 'HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.': 19.7, 'LOCAÇÃO DE VEÍCULOS AUTOMOTORES OU FRETAMENTO DE EMBARCAÇÕES': 135100.0, 'LOCAÇÃO OU FRETAMENTO DE AERONAVES': 415262.6, 'LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES': 255650.0, 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR': 16923.65, 'PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR': 19500.0, 'PASSAGEM AÉREA - REEMBOLSO': 123163.06, 'PASSAGEM AÉREA - RPA': 1455337.12, 'PASSAGEM AÉREA - SIGEPA': 34593.16, 'SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.': 18849.32, 'SERVIÇOS POSTAIS': 92292.2, 'TELEFONIA': 256850.75}"
67312,1585099.46,"{'COMBUSTÍVEIS E LUBRIFICANTES.': 135874.79, 'CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.': 18050.0, 'DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.': 384159.0, 'FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR': 25030.12, 'HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.': 43658.03, 'LOCAÇÃO OU FRETAMENTO DE AERONAVES': 81600.0, 'LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES': 73975.05, 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR': 28454.0, 'PASSAGEM AÉREA - REEMBOLSO': 6206.57, 'PASSAGEM AÉREA - RPA': 719874.66, 'PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS': 2033.6, 'SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO': 2833.9, 'SERVIÇOS POSTAIS': 31061.97, 'TELEFONIA': 32287.77}"
68720,2077999.75,"{'COMBUSTÍVEIS E LUBRIFICANTES.': 116141.55, 'CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.': 745500.0, 'DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.': 356962.03, 'FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR': 50.5, 'LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES': 416707.81, 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR': 47487.61, 'PASSAGEM AÉREA - REEMBOLSO': 3440.13, 'PASSAGEM AÉREA - RPA': 294408.83, 'PASSAGEM AÉREA - SIGEPA': 80102.73, 'SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.': 4092.0, 'SERVIÇOS POSTAIS': 2243.29, 'TELEFONIA': 10863.27}"
68731,1687444.37,"{'COMBUSTÍVEIS E LUBRIFICANTES.': 58130.25, 'CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.': 355085.15, 'DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.': 232456.07, 'FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR': 124.0, 'LOCAÇÃO DE VEÍCULOS AUTOMOTORES OU FRETAMENTO DE EMBARCAÇÕES': 353900.0, 'LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES': 128900.0, 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR': 88759.07, 'PASSAGEM AÉREA - RPA': 342490.02, 'SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.': 25085.0, 'SERVIÇOS POSTAIS': 22215.31, 'TELEFONIA': 80299.5}"
69871,5459233.79,"{'COMBUSTÍVEIS E LUBRIFICANTES.': 197601.61, 'CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.': 482529.0, 'DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.': 1454644.42, 'FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR': 2650.87, 'HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.': 1181.25, 'LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES': 1074088.2, 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR': 984495.6, 'PASSAGEM AÉREA - REEMBOLSO': 7004.91, 'PASSAGEM AÉREA - RPA': 527025.53, 'PASSAGEM AÉREA - SIGEPA': 479202.12, 'SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.': 33000.0, 'SERVIÇOS POSTAIS': 31434.05, 'TELEFONIA': 184376.23}"
71921,4640.38,"{'PASSAGEM AÉREA - RPA': 4031.64, 'TELEFONIA': 608.74}"
72442,2675659.96,"{'ASSINATURA DE PUBLICAÇÕES': 289.5, 'COMBUSTÍVEIS E LUBRIFICANTES.': 161073.95, 'CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.': 34400.0, 'DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.': 301940.83, 'FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR': 61.0, 'HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.': 89014.8, 'LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES': 256812.15, 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR': 13209.85, 'PASSAGEM AÉREA - REEMBOLSO': 22752.08, 'PASSAGEM AÉREA - RPA': 414794.32, 'PASSAGEM AÉREA - SIGEPA': 1373177.53, 'SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO': 95.95, 'SERVIÇOS POSTAIS': 1068.27, 'TELEFONIA': 6969.73}"
72912,1384688.5,"{'ASSINATURA DE PUBLICAÇÕES': 634.02, 'COMBUSTÍVEIS E LUBRIFICANTES.': 108766.61, 'CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.': 141850.0, 'DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.': 345526.55, 'FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR': 16761.63, 'HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.': 1426.38, 'LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES': 76500.0, 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR': 174066.86, 'PASSAGEM AÉREA - REEMBOLSO': 3566.85, 'PASSAGEM AÉREA - RPA': 478066.07, 'PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS': 210.0, 'SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO': 349.75, 'SERVIÇOS POSTAIS': 9129.89, 'TELEFONIA': 27833.89}"
73416,1012410.44,"{'COMBUSTÍVEIS E LUBRIFICANTES.': 32021.43, 'DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.': 422000.0, 'LOCAÇÃO DE VEÍCULOS AUTOMOTORES OU FRETAMENTO DE EMBARCAÇÕES': 138000.0, 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR': 19891.43, 'PASSAGEM AÉREA - RPA': 268623.29, 'SERVIÇOS POSTAIS': 10503.91, 'TELEFONIA': 121370.38}"
73424,3432944.09,"{'ASSINATURA DE PUBLICAÇÕES': 1023.44, 'COMBUSTÍVEIS E LUBRIFICANTES.': 331750.85, 'CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.': 811571.4, 'DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.': 47806.8, 'FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR': 86587.14, 'HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.': 7079.15, 'LOCAÇÃO DE VEÍCULOS AUTOMOTORES OU FRETAMENTO DE EMBARCAÇÕES': 264994.55, 'LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES': 399148.1, 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR': 489796.27, 'PASSAGEM AÉREA - REEMBOLSO': 5656.07, 'PASSAGEM AÉREA - RPA': 644162.42, 'PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS': 660.32, 'SERVIÇOS POSTAIS': 47978.47, 'TELEFONIA': 294729.11}"
73428,618994.57,"{'ASSINATURA DE PUBLICAÇÕES': 3039.3, 'COMBUSTÍVEIS E LUBRIFICANTES.': 44049.15, 'CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.': 44410.0, 'DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.': 124504.96, 'FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR': 829.65, 'HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.': 3525.64, 'LOCAÇÃO DE VEÍCULOS AUTOMOTORES OU FRETAMENTO DE EMBARCAÇÕES': 94162.7, 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR': 36442.61, 'PASSAGEM AÉREA - REEMBOLSO': 507.96, 'PASSAGEM AÉREA - RPA': 102228.01, 'SERVIÇOS POSTAIS': 18206.39, 'TELEFONIA': 147088.2}"
73431,208506.94,"{'ASSINATURA DE PUBLICAÇÕES': 1717.4, 'COMBUSTÍVEIS E LUBRIFICANTES.': 51916.64, 'DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.': 500.0, 'FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR': 2977.33, 'HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.': 7282.53, 'LOCAÇÃO DE VEÍCULOS AUTOMOTORES OU FRETAMENTO DE EMBARCAÇÕES': 29608.0, 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR': 27093.58, 'PASSAGEM AÉREA - REEMBOLSO': 90.0, 'PASSAGEM AÉREA - RPA': 9961.44, 'SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.': 1112.4, 'SERVIÇOS POSTAIS': 19269.04, 'TELEFONIA': 56978.58}"
73433,6699137.8,"{'AQUISIÇÃO DE TOKENS E CERTIFICADOS DIGITAIS': 165.0, 'ASSINATURA DE PUBLICAÇÕES': 37194.9, 'COMBUSTÍVEIS E LUBRIFICANTES.': 137484.36, 'CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.': 50000.0, 'DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.': 2882872.0, 'FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR': 13335.03, 'HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.': 32408.25, 'LOCAÇÃO DE VEÍCULOS AUTOMOTORES OU FRETAMENTO DE EMBARCAÇÕES': 21060.7, 'LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES': 250319.9, 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR': 819453.92, 'PASSAGEM AÉREA - REEMBOLSO': 31567.15, 'PASSAGEM AÉREA - RPA': 1307444.0, 'PASSAGEM AÉREA - SIGEPA': 514218.4, 'PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS': 1353.67, 'SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.': 209.16, 'SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO': 65944.64, 'SERVIÇOS POSTAIS': 47544.17, 'TELEFONIA': 486562.55}"
73434,2768479.53,"{'COMBUSTÍVEIS E LUBRIFICANTES.': 14800.37, 'CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.': 84000.0, 'DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.': 1443061.97, 'FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR': 429.68, 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR': 15614.37, 'PASSAGEM AÉREA - REEMBOLSO': 609.2, 'PASSAGEM AÉREA - RPA': 888383.87, 'SERVIÇOS POSTAIS': 152943.92, 'TELEFONIA': 168636.15}"
73437,3530350.09,"{'ASSINATURA DE PUBLICAÇÕES': 9491.56, 'COMBUSTÍVEIS E LUBRIFICANTES.': 144678.67, 'CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.': 1247469.99, 'DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.': 495712.9, 'FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR': 14998.87, 'HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.': 34426.0, 'LOCAÇÃO DE VEÍCULOS AUTOMOTORES OU FRETAMENTO DE EMBARCAÇÕES': 11850.58, 'LOCAÇÃO OU FRETAMENTO DE AERONAVES': 632.47, 'MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR': 435085.94, 'PARTICIPAÇÃO EM CURSO, PALESTRA OU EVENTO SIMILAR': 23091.48, 'PASSAGEM AÉREA - REEMBOLSO': 26144.19, 'PASSAGEM AÉREA - RPA': 585976.86, 'SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO': 26926.17, 'SERVIÇOS POSTAIS': 133520.34, 'TELEFONIA': 340344.07}"
