Autor Principal;Tipo;Numero;Ano;Ementa;Periodo_Busca
Silas Brasileiro;PL;5;1999;Estabelece dia da semana para realização de provas de concursos públicos.;2023-01-01 a 2023-03-31
Paulo Rocha;PL;14;1999;Altera o artigo 224 do Decreto-Lei nº 5.452, de 1º de maio de 1943 - Consolidação das Leis do Trabalho.;2023-01-01 a 2023-03-31
RAQUEL CANDIDO;PL;15;1991;Estabelece normas para a privatização das empresas públicas e de economia mista e dá outras providências.;2023-01-01 a 2023-03-31
Eduardo Jorge;PL;20;1991;Dispõe sobre a obrigatoriedade de atendimento dos casos de aborto previstos no Código Penal, pelo Sistema Único de Saúde.;2023-01-01 a 2023-03-31
Abelardo Lupion;PL;20;1999;Altera a redação do art. 44 do Decreto-Lei nº 2.848, de 7 de dezembro de 1949  - Código Penal, relativo às penas restritivas de direito.;2023-01-01 a 2023-03-31
Paulo Rocha;PL;24;1999;Institui crime de tortura e dá outras providências.;2023-01-01 a 2023-03-31
ANTONIO CARLOS MENDES THAME;PL;29;1991;Dispõe sobre as atividades ou operações insalubres, penosas e perigosas;2023-01-01 a 2023-03-31
Rommel Feijó;PL;32;1995;Dispõe sobre o tratamento diferenciado às Microempresas - ME e Empresas de Pequeno Porte - EPP, modificando dispositivos da Lei nº 8.864, de 28 de março de 1994.;2023-01-01 a 2023-03-31
Senado Federal - Jutahy Magalhães;PL;38;1995;Dá nova redação aos arts. 1º e 7º da Lei nº 8.727, de 5 de novembro de 1993, e prorroga o prazo previsto em seu art. 15.;2023-01-01 a 2023-03-31
Paulo Rocha;PL;40;1999;Caracteriza, no âmbito da Lei nº 4.898, de 9 de dezembro de 1965, como abuso de autoridade, a exposição, sem autorização judicial, em veículos de comunicação social, daqueles submetidos à custódia policial.;2023-01-01 a 2023-03-31
Paulo Rocha;PL;41;1999;Dispõe sobre os direitos básicos dos portadores do vírus da AIDS e dá outras providências.;2023-01-01 a 2023-03-31
