nome;qtd
ALBERTO FRAGA;248
LINCOLN PORTELA;108
POMPEO DE MATTOS;106
JANDIRA FEGHALI;80
CELSO RUSSOMANNO;73
LUIZ CARLOS HAULY;61
ARLINDO CHINAGLIA;60
FATIMA PELAES;51
RICARDO BARROS;51
BENEDITA DA SILVA;39
VICENTINHO;34
MARINA SILVA;33
IVAN VALENTE;29
CARLOS SAMPAIO;28
LAURA CARNEIRO;23
LUIZA ERUNDINA;23
ALICE PORTUGAL;20
REGINALDO LOPES;18
PAULO PIMENTA;17
CHICO ALENCAR;16
PAUDERNEY AVELINO;16
ELCIONE BARBALHO;14
FRED COSTA;11
MARCELO QUEIROZ;11
CLAUDIO CAJADO;11
FERNANDO COELHO FILHO;11
DELEGADO BRUNO LIMA;11
DELEGADO MATHEUS LAIOLA;11
DANIEL ALMEIDA;11
DUARTE JR.;11
WELITON PRADO;10
GERALDO RESENDE;10
CLEBER VERDE;10
RAIMUNDO SANTOS;9
WELLINGTON ROBERTO;8
RUBENS OTONI;8
HUGO LEAL;7
GORETE PEREIRA;7
GIACOBO;6
GILBERTO NASCIMENTO;5
PAULO TEIXEIRA;4
MARIANA CARVALHO;4
HILDO ROCHA;4
CARLOS ZARATTINI;4
ERIKA KOKAY;4
DILCEU SPERAFICO;4
VINICIUS CARVALHO;4
VANDER LOUBET;3
CARLOS GOMES;3
CARMEN ZANOTTO;3
RENILDO CALHEIROS;3
MARCELO CRIVELLA;3
PAULO ABI-ACKEL;3
HEITOR SCHUCH;2
ARNALDO JARDIM;2
JEFFERSON CAMPOS;2
ROSEANA SARNEY;2
RODRIGO DE CASTRO;2
JULIO LOPES;1
PASTOR EURICO;1
EROS BIONDINI;1
EDUARDO BOLSONARO;1
EDUARDO DA FONTE;1
JONAS DONIZETTE;1
PEDRO PAULO;1
MARCELO CALERO;1
DR. JAZIEL;1
NILTO TATTO;1
ODAIR CUNHA;1
COVATTI FILHO;1
DIEGO ANDRADE;1
DANRLEI DE DEUS HINTERHOLZ;1
FERNANDA MELCHIONNA;1
ROSANGELA GOMES;1
LUISA CANZIANI;1
ROMERO RODRIGUES;1
MILTON VIEIRA;1
ARTHUR LIRA;1
TABATA AMARAL;1
BACELAR;1
GLAUBER BRAGA;1
GLEISI HOFFMANN;1
ALCEU MOREIRA;1
ALEX MANENTE;1
VITOR LIPPI;1
LEONARDO MONTEIRO;1
